epoch,train_loss,val_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_BLEU_4,val_ROUGE_L,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_ROUGE_L,lr_visual_extractor,lr_encoder_decoder,time,seed
1,3.888849788,2.237864576,0.1600635486,0.09397820384,0.06243858016,0.04435612351,0.2306135107,0.1593750482,0.09299914007,0.06185635708,0.04410778656,0.2280797769,3.83E-05,0.000383,Fri Apr 17 13:05:12 2026,9233
2,2.336173705,2.101160421,0.2202910521,0.1365134467,0.09309258529,0.0664037492,0.2624046851,0.2196443976,0.1361778746,0.09345436557,0.06704605796,0.2617597342,5.65E-05,0.0005645541981,Fri Apr 17 13:38:12 2026,9233
3,2.08024522,1.979300023,0.2754555848,0.1534102783,0.09677650781,0.06560986749,0.2495707518,0.2727268966,0.1504633043,0.09449056627,0.06404969824,0.2472344118,4.61E-05,0.0004609565725,Fri Apr 17 14:11:06 2026,9233
4,1.953477894,1.91934849,0.2256207489,0.1313186194,0.08289512357,0.05546899984,0.2421375214,0.2266102068,0.1306256999,0.08268600017,0.05587493764,0.2400752348,3.99E-05,0.0003992001018,Fri Apr 17 14:44:03 2026,9233
5,1.86951825,1.888215366,0.1984669254,0.1120156707,0.06880747242,0.04527524371,0.233833569,0.2028628524,0.1145460833,0.07083162921,0.04704382302,0.2337418328,3.57E-05,0.0003570554257,Fri Apr 17 15:16:47 2026,9233
6,1.805618261,1.85991353,0.3025655329,0.1787182403,0.115417559,0.07884551,0.2503221561,0.3035954352,0.1787876815,0.1165587561,0.08035682053,0.2497587218,3.26E-05,0.0003259455182,Fri Apr 17 15:49:29 2026,9233
7,1.752428035,1.841082815,0.2934698902,0.1641136661,0.1027471829,0.06909052438,0.2507085082,0.2942145663,0.1640929299,0.1034057927,0.06999221034,0.2497493477,3.02E-05,0.0003017669122,Fri Apr 17 16:22:25 2026,9233
8,1.707762422,1.837970073,0.2168043293,0.1327179203,0.08978240378,0.0629041768,0.2479243344,0.2173406178,0.1327733874,0.08990349014,0.06297869064,0.2471638328,2.82E-05,0.000282277099,Fri Apr 17 16:55:11 2026,9233
9,1.668317976,1.834529313,0.2469550029,0.1439312051,0.09263410211,0.06314660074,0.2403367585,0.247037759,0.1433496755,0.09257973344,0.06346097455,0.237911557,2.66E-05,0.0002661334012,Fri Apr 17 17:27:50 2026,9233
10,1.631387824,1.84097797,0.2455038263,0.1405156533,0.08934264611,0.05950261264,0.2410410416,0.2459115125,0.1396032042,0.08826258711,0.05862680992,0.239116439,2.52E-05,0.0002524763128,Fri Apr 17 18:00:34 2026,9233
11,1.598913625,1.845138,0.2341651375,0.1351464774,0.08630909081,0.05902573451,0.2474383537,0.2355089351,0.1341304026,0.08480741449,0.05747852669,0.2444920816,2.41E-05,0.0002407267189,Fri Apr 17 18:33:18 2026,9233
12,1.56850419,1.855432803,0.2547999076,0.140914289,0.0826765003,0.0508665487,0.2446032433,0.2530588728,0.1402556016,0.08294672832,0.051301945,0.2446309493,2.30E-05,0.0002304782862,Fri Apr 17 19:05:59 2026,9233
13,1.537348694,1.863188093,0.2097279348,0.1182414517,0.07327599798,0.04871436844,0.228865285,0.2087431932,0.1168542222,0.07209502651,0.04808333503,0.227135991,2.21E-05,0.0002214363748,Fri Apr 17 19:38:51 2026,9233
14,1.509394232,1.876521561,0.2528322465,0.1457572933,0.08976310211,0.05883709883,0.2544778564,0.2511013858,0.1445444994,0.08963545364,0.05882503593,0.2529297537,2.13E-05,0.00021338143,Fri Apr 17 20:11:33 2026,9233
15,1.484215484,1.884249214,0.3022212883,0.1844592914,0.1251134356,0.08717120736,0.2653753937,0.3019395714,0.1839370995,0.1249540663,0.08711250782,0.2644980047,2.06E-05,0.0002061460461,Fri Apr 17 20:44:14 2026,9233
16,1.458560022,1.890376779,0.2157631943,0.1226282786,0.07730284462,0.05174507233,0.2348413846,0.2162004229,0.1221945375,0.07700451643,0.05183454515,0.2326693455,2.00E-05,0.0001996000509,Fri Apr 17 21:17:18 2026,9233
17,1.435898694,1.895238228,0.2241881086,0.1217569369,0.07160926967,0.04637778035,0.2277043157,0.2225891616,0.120738581,0.07104000673,0.04651004955,0.2260515981,1.94E-05,0.0001936404924,Fri Apr 17 21:50:04 2026,9233
