epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_BLEU_4,val_ROUGE_L,val_loss,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_ROUGE_L,lr_visual_extractor,lr_encoder_decoder,time,seed
1,3.80504787,0.16251127,0.090362142,0.055269145,0.037973961,0.222889862,2.236225388,0.162783043,0.089403094,0.054357416,0.037418311,0.220739768,3.83E-05,0.000383,Sun Apr 12 23:48:01 2026,9233
2,2.185045087,0.171228832,0.098949252,0.064420557,0.044056566,0.211094014,2.04486524,0.16917976,0.098404845,0.064528155,0.044632731,0.211438883,4.61E-05,0.000460982,Mon Apr 13 04:03:33 2026,9233
3,2.021253567,0.18513234,0.117636981,0.0801701,0.056575466,0.249063653,1.956087013,0.184751325,0.117399492,0.080582742,0.057319825,0.24785797,3.99E-05,0.000399216,Mon Apr 13 04:20:40 2026,9233
4,1.927087248,0.267602691,0.158847626,0.101024499,0.065124574,0.248117398,1.909873901,0.26741567,0.158283184,0.100517723,0.064469164,0.24698954,3.57E-05,0.000357067,Mon Apr 13 04:37:53 2026,9233
5,1.859422586,0.127610143,0.070297868,0.043605241,0.029792228,0.211866823,1.880241909,0.126813462,0.069667197,0.043584459,0.030202578,0.210618262,3.26E-05,0.000325954,Mon Apr 13 04:55:46 2026,9233
6,1.806110318,0.117858526,0.065484031,0.040643829,0.028065478,0.214852229,1.86642746,0.117526668,0.065068814,0.040416944,0.027981662,0.212364369,3.02E-05,0.000301774,Mon Apr 13 05:13:06 2026,9233
7,1.759027423,0.197865038,0.120924507,0.082807753,0.058865993,0.245279848,1.850312028,0.197696344,0.120347213,0.082136615,0.058187364,0.243352382,2.82E-05,0.000282283,Mon Apr 13 05:30:18 2026,9233
8,1.716731153,0.251325216,0.148540174,0.097630046,0.068367115,0.259895211,1.839794327,0.251825109,0.148895416,0.098488549,0.069479815,0.257802832,2.66E-05,0.000266138,Mon Apr 13 05:47:35 2026,9233
9,1.680371997,0.303571134,0.178994558,0.117558309,0.08105956,0.260833563,1.839107272,0.30565834,0.180645596,0.118897121,0.081729473,0.262650474,2.52E-05,0.00025248,Mon Apr 13 06:05:41 2026,9233
10,1.64746906,0.337443065,0.202283247,0.131967324,0.089815359,0.258280119,1.840775148,0.336249,0.200247087,0.130973731,0.090135646,0.2549999,2.41E-05,0.00024073,Mon Apr 13 06:23:00 2026,9233
11,1.61597193,0.235386446,0.135986556,0.087181747,0.059570119,0.250172154,1.839928049,0.235519136,0.134409547,0.085707914,0.0582373,0.247368063,2.30E-05,0.000230481,Mon Apr 13 06:40:27 2026,9233
12,1.586630144,0.293198508,0.170792247,0.111580112,0.076483744,0.258625572,1.844162702,0.290741139,0.16795613,0.109394885,0.074689137,0.256066732,2.21E-05,0.000221439,Mon Apr 13 06:57:40 2026,9233
13,1.557865614,0.246176093,0.141673158,0.088076012,0.058457364,0.252998677,1.85446828,0.244322581,0.139295219,0.086368538,0.057113602,0.251247261,2.13E-05,0.000213384,Mon Apr 13 07:15:00 2026,9233
14,1.531214439,0.187279922,0.107029203,0.067476793,0.045353585,0.231548737,1.859719846,0.188553343,0.106956981,0.0673724,0.045451753,0.230264672,2.06E-05,0.000206148,Mon Apr 13 07:32:19 2026,9233
15,1.507173475,0.288682946,0.167013531,0.104340121,0.069516353,0.26023758,1.867361084,0.285108621,0.165207741,0.103830658,0.069619325,0.258638659,2.00E-05,0.000199602,Mon Apr 13 07:49:28 2026,9233
16,1.483276092,0.277610557,0.1668006,0.111223871,0.076749202,0.257530792,1.869288828,0.277794012,0.167395196,0.112109063,0.077251908,0.257765566,1.94E-05,0.000193642,Mon Apr 13 08:06:36 2026,9233
17,1.460832399,0.291196652,0.16334409,0.1032555,0.070340782,0.249668738,1.880818173,0.289646341,0.160644539,0.101117423,0.06888822,0.246261907,1.88E-05,0.000188186,Mon Apr 13 08:23:50 2026,9233
18,1.439175299,0.244052525,0.133505638,0.080307331,0.05275664,0.233514968,1.891044118,0.244511402,0.131679841,0.078774947,0.051808214,0.231032203,1.83E-05,0.000183167,Mon Apr 13 08:40:59 2026,9233
19,1.423363656,0.2642523,0.150258195,0.09465219,0.063353831,0.251716023,1.894696741,0.265872923,0.149023514,0.092960358,0.061846087,0.248671026,1.79E-05,0.000178529,Mon Apr 13 08:58:09 2026,9233
20,1.399430493,0.288037274,0.166292787,0.105374688,0.071639993,0.250660403,1.908344371,0.286837833,0.163347363,0.102615492,0.069046547,0.247555924,1.74E-05,0.000174227,Mon Apr 13 09:15:19 2026,9233
21,1.379651026,0.319434902,0.171550292,0.104640511,0.069511618,0.243763685,1.914080925,0.321207904,0.171652418,0.104839403,0.069491529,0.243599952,1.70E-05,0.000170221,Mon Apr 13 09:32:28 2026,9233
22,1.361508093,0.348398822,0.193103166,0.119207145,0.079844585,0.257470124,1.925655844,0.347778205,0.191412774,0.117807843,0.078280879,0.254185557,1.66E-05,0.000166479,Mon Apr 13 09:49:35 2026,9233
23,1.344175663,0.281225946,0.151683929,0.09429308,0.062869367,0.236513536,1.93741922,0.280217552,0.150955753,0.094781698,0.064091077,0.237481567,1.63E-05,0.000162974,Mon Apr 13 10:06:41 2026,9233
24,1.325548294,0.319085464,0.178719442,0.111798782,0.074371611,0.247263509,1.943218981,0.319394783,0.178879755,0.113118506,0.076416661,0.247534843,1.60E-05,0.000159681,Mon Apr 13 10:23:53 2026,9233
25,1.309108874,0.277204885,0.160462042,0.103864066,0.070845388,0.246010509,1.955759017,0.275844294,0.159914569,0.103968894,0.071294077,0.245481115,1.57E-05,0.00015658,Mon Apr 13 15:07:42 2026,9233
